# Every architecture the OpenWrt buildbot publishes, with a target that builds
# it and the emulator to run it under.
#
# Columns: arch, target, qemu program, cpu model.
#
# The cpu model is always named, never left to the emulator's default. The
# default 32-bit PowerPC model does not implement isel, and musl for
# powerpc_8548 (CPU_TYPE 8548, the e500v2 core in parts such as the P1010) holds
# 63 of them, so the C library faults with an illegal instruction before
# reaching main, whatever the package holds. That reads exactly like a package
# failure and is not one. Naming the model removes the guesswork.
#
# Each model here was checked by running that target's own musl loader under it.
# Where the exact CPU is absent from qemu-user, the closest superset is used, on
# the reasoning that too weak a model invents failures while too rich a model
# hides them and skews runtime feature detection:
#
#   arm_cortex-a5_vfpv4   cortex-a7   no cortex-a5 in qemu-user
#   arm_xscale            arm926      no xscale or pxa model
#   armeb_xscale          arm926      likewise, big endian
#   powerpc_464fp         460exb      the 460 family model
#
# The x86 models are composed from features rather than picked from the list,
# because every stock model is richer than the part its target names, and a
# richer model hides a fault instead of finding one. What each target asks for:
#
#   i386_pentium-mmx      pentium,+mmx      MMX, no SSE, no CMOV
#   i386_pentium4         pentium3,+sse2    SSE2, no SSE3, no SSSE3
#   x86_64                Opteron_G1,-sse3  the Opteron 240 of 2003, earliest
#                                           stepping, so SSE2 and nothing above
#
# Each boundary was confirmed by running a one-instruction program under the
# model and requiring the illegal-instruction fault. The stock choices were all
# too rich: pentium2 grants CMOV, which a Geode has not; n270 grants SSSE3, so
# that job selected the SSSE3 path and never ran the SSE2 one a Pentium 4 uses;
# and the emulator's own x86_64 default grants SSE3. An assumption of SSSE3
# that faults on AMD K8 and K10 survived years of CI on hosts that all had it,
# which is the whole argument for naming the floor rather than a typical part.
#
# x86 has four subtargets and three package architectures: geode and legacy
# both fall to the i386 default of pentium-mmx, so one row covers the pair.
#
# The fifth column names an instruction set to assert, or "-" for none. Two
# architectures use it, in opposite directions, and each pairing is deliberate.
#
# arm_fa526 asks for "v4", and is held to no more than that.
#
# That target compiles to plain ARMv4, which has no bx and so cannot enter Thumb
# code: its binaries hold no bx or blx at all, where the ARMv5 build of the same
# package holds 133. qemu-user always maps a Thumb vdso, so under an ARMv4 or
# ARMv5 model the call to __vdso_gettimeofday runs Thumb bytes in ARM state and
# branches into the weeds. Real hardware never meets this, because the Linux ARM
# vdso needs ARMv7 and a gemini kernel supplies none, leaving musl on plain
# syscalls. The currently shipped package fails the same way, so it is nothing
# this repository changed, and qemu-user offers no way to withhold the vdso.
#
# Skipping the architecture would leave a hole, and simply naming a richer model
# could hide a real mismatch. So it runs under cortex-a7, which can interwork,
# and isa-check.sh holds the binaries to ARMv4 in the same job. The emulator
# then proves the code runs, and the check proves the code is what the target
# asks for.
#
# powerpc_8548 asks for "spe", and is held to containing it. The e500v2 core
# does the tile XOR 64 bits at a time through its SPE unit, and GCC has dropped
# SPE support, so that path is hand-written assembly reached by a build flag
# rather than by a macro the compiler defines. udpspeeder-simd reads the -mcpu
# the target passes and sets the flag itself. Nothing a packet test can observe
# changes if that reading ever breaks: the tunnel still passes traffic, on the
# slower word path. Requiring the opcodes is what makes the loss audible. This
# assertion applies to udpspeeder-simd alone, the stock package having no SPE
# path to lose.
#
# riscv64_riscv64 and mips_4kec have package directories on the buildbot but are
# frozen leftovers, not live architectures: they were last built in April and
# July of 2025 against zlib 1.3.1, where a live architecture carries a build
# from this month. riscv64_riscv64 is the name the release branches use for
# riscv64_generic, and nothing in the tree sets CPU_TYPE to 4kec.
# armeb_xscale is omitted. Its target is XScale and qemu-armeb models only
# arm926 and arm1176, so the binary meets an instruction the model lacks and
# faults. Upstream's own udpspeeder fails the same way here, so this is the
# emulator's reach, not the package. The feed still builds and serves it.
aarch64_cortex-a53	mediatek/filogic	qemu-aarch64	cortex-a53	-
aarch64_cortex-a72	bcm27xx/bcm2711	qemu-aarch64	cortex-a72	-
aarch64_cortex-a76	bcm27xx/bcm2712	qemu-aarch64	cortex-a76	-
aarch64_generic	armsr/armv8	qemu-aarch64	cortex-a53	-
arm_arm1176jzf-s_vfp	bcm27xx/bcm2708	qemu-arm	arm1176	-
arm_arm926ej-s	at91/sam9x	qemu-arm	arm926	-
arm_cortex-a15_neon-vfpv4	armsr/armv7	qemu-arm	cortex-a15	-
arm_cortex-a5_vfpv4	at91/sama5	qemu-arm	cortex-a7	-
arm_cortex-a7	mediatek/mt7629	qemu-arm	cortex-a7	-
arm_cortex-a7_neon-vfpv4	bcm27xx/bcm2709	qemu-arm	cortex-a7	-
arm_cortex-a7_vfpv4	at91/sama7	qemu-arm	cortex-a7	-
arm_cortex-a8_vfpv3	omap/generic	qemu-arm	cortex-a8	-
arm_cortex-a9	bcm53xx/generic	qemu-arm	cortex-a9	-
arm_cortex-a9_neon	imx/cortexa9	qemu-arm	cortex-a9	-
arm_cortex-a9_vfpv3-d16	mvebu/cortexa9	qemu-arm	cortex-a9	-
arm_fa526	gemini/generic	qemu-arm	cortex-a7	v4
arm_xscale	kirkwood/generic	qemu-arm	arm926	-
i386_pentium-mmx	x86/geode	qemu-i386	pentium,+mmx	-
i386_pentium4	x86/generic	qemu-i386	pentium3,+sse2	-
loongarch64_generic	loongarch64/generic	qemu-loongarch64	la464	-
mips64_mips64r2	malta/be64	qemu-mips64	MIPS64R2-generic	-
mips64_octeonplus	octeon/generic	qemu-mips64	Octeon68XX	-
mips64el_mips64r2	malta/le64	qemu-mips64el	MIPS64R2-generic	-
mips_24kc	ath79/generic	qemu-mips	24Kf	-
mips_mips32	bmips/bcm6318	qemu-mips	4Kc	-
mipsel_24kc	malta/le	qemu-mipsel	24Kf	-
mipsel_24kc_24kf	pistachio/generic	qemu-mipsel	24Kf	-
mipsel_74kc	bcm47xx/mips74k	qemu-mipsel	74Kf	-
mipsel_mips32	bcm47xx/generic	qemu-mipsel	4Kc	-
powerpc64_e5500	qoriq/generic	qemu-ppc64	e5500	-
powerpc_464fp	apm821xx/nand	qemu-ppc	460exb	-
powerpc_8548	mpc85xx/p1010	qemu-ppc	e500v2_v10	spe
riscv64_generic	d1/generic	qemu-riscv64	rv64	-
x86_64	x86/64	qemu-x86_64	Opteron_G1,-sse3	-
